date,home_team,away_team,tournament,home_fifa_points,away_fifa_points,fifa_points_diff,home_form,away_form,h2h_home_win_rate,tournament_weight,home_avg_goal_diff,away_avg_goal_diff,label
2000-02-12,Yemen,Turkmenistan,AFC Asian Cup qualification,0.0688539741219963,0.11598890942698706,0.46300140035091797,1.0,0.0,0.5,0.5,0.5789473684210527,0.4084507042253521,0
2000-02-12,United States,Haiti,Gold Cup,0.28604436229205177,0.17744916820702403,0.5562658784849642,0.5,0.5,0.5,0.75,0.5131578947368421,0.5492957746478874,2
2000-02-12,Nepal,Bhutan,AFC Asian Cup qualification,0.07347504621072089,0.0,0.5352329397959805,0.0,0.5,0.5,0.5,0.42105263157894735,0.5492957746478874,2
2000-02-12,South Africa,Tunisia,African Cup of Nations,0.27587800369685767,0.27911275415896486,0.4892925737121476,0.6,0.42857142857142855,0.5,0.75,0.5105263157894737,0.557344064386318,1
2000-02-12,Chile,Bulgaria,Friendly,0.2855822550831793,0.2601663585951941,0.506451023695266,0.25,1.0,0.5,0.0,0.4868421052631579,0.5774647887323944,2
2000-02-12,Australia,Slovakia,Friendly,0.18946395563770796,0.28927911275415896,0.43145199231744236,0.0,0.0,0.5,0.0,0.4736842105263158,0.5211267605633804,1
2000-02-12,Colombia,Jamaica,Gold Cup,0.28373382624768945,0.24907578558225507,0.5119860075607879,0.5,0.6666666666666666,0.5,0.75,0.5,0.5680751173708921,2
2000-02-13,Costa Rica,Canada,Gold Cup,0.2222735674676525,0.2010166358595194,0.5039602809557809,1.0,0.5,0.5,0.75,0.5263157894736842,0.5774647887323944,1
2000-02-13,Dominican Republic,British Virgin Islands,Friendly,0.07624768946395563,0.06515711645101664,0.49787179870370674,0.5,0.0,0.5,0.0,0.5,0.5211267605633804,2
2000-02-13,Macau,Brunei,AFC Asian Cup qualification,0.03927911275415896,0.0,0.514753499493549,0.5,0.5,0.5,0.5,0.5,0.5492957746478874,2
2000-02-13,Mexico,Trinidad And Tobago,Gold Cup,0.32624768946395566,0.24722735674676524,0.5385539301152937,0.6666666666666666,0.0,0.5,0.75,0.5087719298245614,0.5305164319248826,2
2000-02-13,Nigeria,Cameroon,African Cup of Nations,0.20517560073937152,0.23151571164510165,0.4754551140483425,0.8,0.42857142857142855,0.5,0.75,0.5368421052631579,0.5734406438631792,1
2000-02-13,Singapore,Japan,AFC Asian Cup qualification,0.17190388170055454,0.23105360443622922,0.4558059213257393,0.5,0.0,0.5,0.5,0.5263157894736842,0.5211267605633804,0
2000-02-13,Syria,North Korea,Friendly,0.15665434380776339,0.0,0.5850477945856788,0.5,0.0,1.0,0.0,0.5,0.4366197183098592,1
2000-02-14,Turkmenistan,Nepal,AFC Asian Cup qualification,0.11598890942698706,0.07347504621072089,0.5166907438464816,0.5,0.5,0.5,0.5,0.4473684210526316,0.5492957746478874,2
2000-02-14,Kuwait,Bhutan,AFC Asian Cup qualification,0.1977818853974122,0.0,0.6096784727872517,0.6666666666666666,0.0,0.5,0.5,0.5789473684210527,0.46478873239436624,2
2000-02-14,Jamaica,Honduras,Gold Cup,0.24907578558225507,0.21164510166358594,0.5136465027204445,0.5,1.0,0.5,0.75,0.506578947368421,0.6619718309859155,0
2000-02-14,Haiti,Peru,Gold Cup,0.17744916820702403,0.24861367837338263,0.4486104423005607,0.0,0.5,0.5,0.75,0.42105263157894735,0.5492957746478874,1
2000-02-15,Australia,Bulgaria,Friendly,0.18946395563770796,0.2601663585951941,0.44888719149383677,0.0,0.5,0.5,0.0,0.4868421052631579,0.5492957746478874,1
2000-02-15,Canada,South Korea,Gold Cup,0.2010166358595194,0.2412199630314233,0.4671526382500595,0.3333333333333333,0.5,0.5,0.75,0.5175438596491229,0.5633802816901409,1
2000-02-15,Chile,Slovakia,Friendly,0.2855822550831793,0.28927911275415896,0.4890158245188715,0.4,0.0,0.5,0.0,0.49473684210526314,0.5352112676056339,0
2000-02-15,Malaysia,Maldives,Friendly,0.14186691312384472,0.0854898336414048,0.5249932196447648,0.0,0.5,0.5,0.0,0.4473684210526316,0.5492957746478874,2
2000-02-15,Trinidad And Tobago,Guatemala,Gold Cup,0.24722735674676524,0.2097966728280961,0.5136465027204445,0.0,0.25,0.5,0.75,0.4605263157894737,0.5422535211267606,2
2000-02-16,United States,Peru,Gold Cup,0.2902033271719039,0.24907578558225507,0.5158604962666533,0.6666666666666666,0.0,0.5,0.75,0.5350877192982456,0.5492957746478874,2
2000-02-16,Panama,El Salvador,Friendly,0.12292051756007394,0.18207024029574861,0.4558059213257393,0.5,0.0,0.5,0.0,0.5263157894736842,0.4366197183098592,2
2000-02-16,Macau,Singapore,AFC Asian Cup qualification,0.03927911275415896,0.17236598890942698,0.4115260504015631,1.0,0.3333333333333333,0.5,0.5,0.5263157894736842,0.539906103286385,0
2000-02-16,Lebanon,North Korea,Friendly,0.15388170055452866,0.0,0.5833872994260221,0.5,0.0,0.5,0.0,0.5,0.4929577464788733,2
2000-02-16,Japan,Brunei,AFC Asian Cup qualification,0.2301293900184843,0.0,0.629050916316579,0.5,0.0,0.5,0.5,0.5263157894736842,0.5211267605633804,2
2000-02-16,Honduras,Colombia,Gold Cup,0.2111829944547135,0.28835489833641403,0.44501270278797134,1.0,1.0,0.5,0.75,0.5789473684210527,0.5774647887323944,2
2000-02-16,Bhutan,Turkmenistan,AFC Asian Cup qualification,0.0,0.11552680221811461,0.4220425197460549,0.0,0.6666666666666666,0.5,0.5,0.19736842105263158,0.5586854460093897,0
2000-02-16,Kuwait,Yemen,AFC Asian Cup qualification,0.205637707948244,0.06839186691312385,0.5734243284680824,0.75,0.5,0.5,0.5,0.6907894736842105,0.5774647887323944,2
2000-02-17,Barbados,Saint Kitts And Nevis,Friendly,0.14833641404805914,0.0,0.5800663091067089,0.5,0.0,0.5,0.0,0.5,0.5211267605633804,2
2000-02-17,South Korea,Costa Rica,Gold Cup,0.24722735674676524,0.22735674676524953,0.5031300333759526,0.3333333333333333,0.6666666666666666,0.5,0.75,0.5087719298245614,0.5680751173708921,1
2000-02-17,Malaysia,Maldives,Friendly,0.14140480591497226,0.0854898336414048,0.5247164704514886,0.5,0.0,1.0,0.0,0.5,0.4929577464788733,2
2000-02-17,Mexico,Guatemala,Gold Cup,0.32532347504621073,0.21164510166358594,0.5593101196110013,0.75,0.2,0.5,0.75,0.5328947368421053,0.5323943661971832,1
2000-02-18,Kuwait,Nepal,AFC Asian Cup qualification,0.205637707948244,0.07347504621072089,0.5703800873420454,0.8,0.3333333333333333,0.5,0.5,0.6631578947368422,0.5023474178403756,2
2000-02-18,Yemen,Bhutan,AFC Asian Cup qualification,0.06839186691312385,0.0,0.5321886986699433,0.3333333333333333,0.0,0.5,0.5,0.5,0.25821596244131456,2
2000-02-19,United States,Colombia,Gold Cup,0.2902033271719039,0.28835489833641403,0.4923368148381847,0.75,0.5,0.5,0.75,0.5328947368421053,0.5352112676056339,1
2000-02-19,United Arab Emirates,Slovenia,Friendly,0.23706099815157117,0.25092421441774493,0.4829273422667973,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,1
2000-02-19,Oman,Switzerland,Friendly,0.18715341959334567,0.24445471349353048,0.4569129180988437,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,0
2000-02-19,Dominica,Antigua And Barbuda,Friendly,0.08179297597042513,0.08086876155268022,0.49178331645163254,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,2
2000-02-19,Honduras,Peru,Gold Cup,0.2111829944547135,0.24907578558225507,0.46853638421644,1.0,0.0,0.5,0.75,0.5701754385964912,0.5352112676056339,0
2000-02-20,Costa Rica,Trinidad And Tobago,Gold Cup,0.22735674676524953,0.24676524953789278,0.479606351947484,0.5,0.2,1.0,0.75,0.5131578947368421,0.5267605633802818,0
2000-02-20,Lesotho,Eswatini,Friendly,0.07855822550831792,0.11645101663585952,0.46853638421644,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,2
2000-02-20,Macau,Japan,AFC Asian Cup qualification,0.03927911275415896,0.2301293900184843,0.37693240124205035,0.5,0.6666666666666666,0.5,0.5,0.5,0.6525821596244132,0
2000-02-20,Mexico,Canada,Gold Cup,0.32532347504621073,0.2010166358595194,0.5656753510563517,0.6,0.25,0.5,0.75,0.5263157894736842,0.5633802816901409,0
2000-02-20,Singapore,Brunei,AFC Asian Cup qualification,0.17236598890942698,0.0,0.5944572671570663,0.5,0.0,0.5,0.5,0.5,0.4084507042253521,2
2000-02-20,Thailand,Finland,King's Cup,0.22643253234750463,0.2421441774491682,0.48182034549369285,0.5,0.5,0.5,0.25,0.5,0.5492957746478874,1
2000-02-20,Kernow,Guernsey,Friendly,0.0,0.0,0.4912298180650803,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,0
